"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2110","Verify navigation to PIM page","Default Suite","Sun Aug 24 13:23:55 WIB 2025","passed","Sun Aug 24 13:23:57 WIB 2025","com.example.java.testcases.PIMTest","TestNGTest-26d8982e-ca49-4f69-ba1b-c6462d576ae5","com.example.java.testcases.PIMTest","testNavigateToPIM"
"","7513","Login with empty username","Default Suite","Sun Aug 24 13:20:16 WIB 2025","passed","Sun Aug 24 13:20:23 WIB 2025","com.example.java.testcases.LoginTest","TestNGTest-53824f23-d7c8-4958-b3b9-65932e60d5fe","com.example.java.testcases.LoginTest","testEmptyFieldsUsername"
"","8947","Login with invalid username","Default Suite","Sun Aug 24 13:20:38 WIB 2025","passed","Sun Aug 24 13:20:47 WIB 2025","com.example.java.testcases.LoginTest","TestNGTest-53824f23-d7c8-4958-b3b9-65932e60d5fe","com.example.java.testcases.LoginTest","testInvalidUsername"
"","8502","Verify login works with valid credentials","Default Suite","Sun Aug 24 13:20:50 WIB 2025","passed","Sun Aug 24 13:20:59 WIB 2025","com.example.java.testcases.LoginTest","TestNGTest-53824f23-d7c8-4958-b3b9-65932e60d5fe","com.example.java.testcases.LoginTest","testValidLogin"
"","1674","Verify clicking Leave button","Default Suite","Sun Aug 24 13:17:16 WIB 2025","passed","Sun Aug 24 13:17:18 WIB 2025","com.example.java.testcases.DashboardTest","TestNGTest-75a63b55-f29e-4647-b16f-fc65dc15b6a0","com.example.java.testcases.DashboardTest","testClickLeaveButton"
"","3342","Verify employee is displayed on employee list","Default Suite","Sun Aug 24 13:23:25 WIB 2025","passed","Sun Aug 24 13:23:29 WIB 2025","com.example.java.testcases.PIMTest","TestNGTest-26d8982e-ca49-4f69-ba1b-c6462d576ae5","com.example.java.testcases.PIMTest","testCheckEmployeeOnEmployeeList"
"","5639","Login with empty username","Default Suite","Sun Aug 24 13:20:08 WIB 2025","passed","Sun Aug 24 13:20:13 WIB 2025","com.example.java.testcases.LoginTest","TestNGTest-53824f23-d7c8-4958-b3b9-65932e60d5fe","com.example.java.testcases.LoginTest","testEmptyFieldsPassword"
"","1639","Verify clicking Admin button","Default Suite","Sun Aug 24 13:16:43 WIB 2025","passed","Sun Aug 24 13:16:45 WIB 2025","com.example.java.testcases.DashboardTest","TestNGTest-75a63b55-f29e-4647-b16f-fc65dc15b6a0","com.example.java.testcases.DashboardTest","testClickAdminButton"
"","6353","Login with empty username and password","Default Suite","Sun Aug 24 13:19:58 WIB 2025","passed","Sun Aug 24 13:20:04 WIB 2025","com.example.java.testcases.LoginTest","TestNGTest-53824f23-d7c8-4958-b3b9-65932e60d5fe","com.example.java.testcases.LoginTest","testEmptyFields"
"","1730","Verify clicking My Info button","Default Suite","Sun Aug 24 13:17:31 WIB 2025","passed","Sun Aug 24 13:17:33 WIB 2025","com.example.java.testcases.DashboardTest","TestNGTest-75a63b55-f29e-4647-b16f-fc65dc15b6a0","com.example.java.testcases.DashboardTest","testClickMyInfoButton"
